timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1673653795037,911,HTTP Request,200,OK,Thread Group 1-1,text,true,,12547,117,200,200,http://34.132.194.230/,911,0,120
1673653795050,1112,HTTP Request,200,OK,Thread Group 1-3,text,true,,12547,117,199,199,http://34.132.194.230/,1112,0,115
1673653795047,1348,HTTP Request,200,OK,Thread Group 1-2,text,true,,12547,117,198,198,http://34.132.194.230/,1348,0,116
1673653795051,1345,HTTP Request,200,OK,Thread Group 1-5,text,true,,12547,117,197,197,http://34.132.194.230/,1345,0,115
1673653795059,1495,HTTP Request,200,OK,Thread Group 1-6,text,true,,12547,117,196,196,http://34.132.194.230/,1495,0,114
1673653795055,1535,HTTP Request,200,OK,Thread Group 1-4,text,true,,12547,117,195,195,http://34.132.194.230/,1534,0,116
1673653795067,1592,HTTP Request,200,OK,Thread Group 1-8,text,true,,12547,117,194,194,http://34.132.194.230/,1592,0,116
1673653795077,1604,HTTP Request,200,OK,Thread Group 1-10,text,true,,12547,117,193,193,http://34.132.194.230/,1604,0,114
1673653795072,1633,HTTP Request,200,OK,Thread Group 1-9,text,true,,12547,117,192,192,http://34.132.194.230/,1633,0,118
1673653795064,1654,HTTP Request,200,OK,Thread Group 1-7,text,true,,12547,117,191,191,http://34.132.194.230/,1654,0,130
1673653795081,1673,HTTP Request,200,OK,Thread Group 1-11,text,true,,12547,117,190,190,http://34.132.194.230/,1673,0,118
1673653795086,1840,HTTP Request,200,OK,Thread Group 1-12,text,true,,12547,117,189,189,http://34.132.194.230/,1840,0,116
1673653795091,1988,HTTP Request,200,OK,Thread Group 1-13,text,true,,12547,117,188,188,http://34.132.194.230/,1988,0,115
1673653795102,2010,HTTP Request,200,OK,Thread Group 1-15,text,true,,12547,117,187,187,http://34.132.194.230/,2010,0,116
1673653795097,2016,HTTP Request,200,OK,Thread Group 1-14,text,true,,12547,117,186,186,http://34.132.194.230/,2016,0,116
1673653795106,2036,HTTP Request,200,OK,Thread Group 1-16,text,true,,12547,117,185,185,http://34.132.194.230/,2036,0,117
1673653795111,2079,HTTP Request,200,OK,Thread Group 1-17,text,true,,12547,117,184,184,http://34.132.194.230/,2079,0,115
1673653795116,2120,HTTP Request,200,OK,Thread Group 1-18,text,true,,12547,117,183,183,http://34.132.194.230/,2120,0,114
